State, EVs, Winner16, R16, D16, Turnout, Trend
Alabama, 9, R, 64, 36, 2047802, -0.5
Alaska, 3, R, 58, 42, 279841, 0.5
Arizona, 11, R, 52, 48, 2413568, 0.5
Arkansas, 6, R, 64, 36, 1065366, -0.5
California, 55, D, 34, 66, 13237598, 0.5
Colorado, 9, D, 47, 53, 2541354, 0.5
Connecticut, 7, D, 43, 57, 1570787, -0.5
Delaware, 3, D, 44, 56, 420730, 0.5
DC, 3, D, 4, 96, 295553, 0.01
Florida, 29, R, 51, 49, 9122861, -0.5
Georgia, 16, R, 53, 47, 3967067, -0.5
Hawaii, 3, D, 33, 67, 395738, 0.5
Idaho, 4, R, 69, 31, 598820, 0.5
Illinois, 20, D, 41, 59, 5236744, 0.5
Indiana, 11, R, 60, 40, 2590412, -0.5
Iowa, 6, R, 56, 44, 1454652, -0.0
Kansas, 6, R, 61, 39, 1098023, 0.5
Kentucky, 8, R, 65, 35, 1831825, -0.5
Louisiana, 8, R, 60, 40, 1958792, -0.5
Maine, 2, D, 48, 52, 693328, -0.5
Maine1, 1, D, 42, 58, 367158, -0.5
Maine2, 1, R, 55, 45, 325994, -0.5
Maryland, 10, D, 36, 64, 261097, 0.5
Massachusetts, 11, D, 35, 65, 3086089, 0.5
Michigan, 16, R, 50, 50, 4548382, -0.5
Minnesota, 10, D, 49, 50, 2690667, -0.5
Mississippi, 6, R, 59, 41, 1185845, -0.5
Missouri, 10, R, 60, 40, 2665579, 0.5
Montana, 3, R, 60, 40, 456949, 0.3
Nebraska, 2, R, 66, 34, 780365, -0.5
Nebraska1, 1, R, 62, 38, 258752, -0.5
Nebraska2, 1, R, 51, 49, 268694, -0.5
Nebraska3, 1, R, 79, 21, 252947, -0.5
Nevada, 6, D, 49, 51, 1051318, -0.5
New_Hampshire, 4, D, 50, 50, 694316, -0.5
New_Jersey, 14, D, 43, 57, 3750211, -0.5
New_Mexico, 5, D, 45, 55, 704901, -0.5
New_York, 29, D, 38, 62, 735658, -0.5
North_Carolina, 15, R, 52, 48, 4551947, 0.1
North_Dakota, 3, R, 70, 30, 310552, -0.5
Ohio, 18, R, 54, 46, 5235169, -0.5
Oklahoma, 7, R, 69, 31, 1369511, -0.5
Oregon, 7, D, 44, 56, 1784509, 0.5
Pennsylvania, 20, R, 51, 49, 5897174, -0.5
Rhode_Island, 4, D, 42, 58, 433068, -0.5
South_Carolina, 9, R, 57, 43, 2010762, -0.0
South_Dakota, 3, R, 66, 34, 345179, -0.5
Tennessee, 11, R, 64, 36, 2393620, -0.2
Texas, 36, R, 55, 45, 8562915, 0.2
Utah, 6, R, 63, 37, 825907, 0.5
Vermont, 3, D, 34, 66, 273942, 0.5
Virginia, 13, D, 47, 53, 3750916, 0.5
Washington, 8, D, 41, 59, 2964465, 0.5
West_Virginia, 5, R, 72, 28, 678165, -0.5
Wisconsin, 10, R, 51, 49, 2787820, -0.5
Wyoming, 3, R, 76, 34, 230392, -0.5



